weekday;dia;hora;periodo;demand
Tuesday;05/11/2019;12;0;25
Tuesday;05/11/2019;12;30;14
Tuesday;05/11/2019;13;0;11
Tuesday;05/11/2019;13;30;9
Tuesday;05/11/2019;14;0;9
Tuesday;05/11/2019;14;30;4
Tuesday;05/11/2019;15;0;11
Tuesday;05/11/2019;15;30;7
Tuesday;05/11/2019;16;0;7
Tuesday;05/11/2019;16;30;2
Tuesday;05/11/2019;17;30;2
Tuesday;05/11/2019;18;0;2
Tuesday;05/11/2019;18;30;2
Tuesday;05/11/2019;19;0;1
Wednesday;06/11/2019;5;30;10
Wednesday;06/11/2019;6;0;5
Wednesday;06/11/2019;6;30;54
Wednesday;06/11/2019;7;0;20
Wednesday;06/11/2019;7;30;14
Wednesday;06/11/2019;8;0;12
Wednesday;06/11/2019;8;30;8
Wednesday;06/11/2019;9;0;7
Wednesday;06/11/2019;9;30;17
Wednesday;06/11/2019;10;0;15
Wednesday;06/11/2019;10;30;27
Wednesday;06/11/2019;11;0;22
Wednesday;06/11/2019;11;30;13
Wednesday;06/11/2019;12;0;21
Wednesday;06/11/2019;12;30;9
Wednesday;06/11/2019;13;0;6
Wednesday;06/11/2019;13;30;9
Wednesday;06/11/2019;14;0;9
Wednesday;06/11/2019;14;30;1
Wednesday;06/11/2019;15;0;6
Wednesday;06/11/2019;15;30;7
Wednesday;06/11/2019;16;0;7
Wednesday;06/11/2019;16;30;1
Wednesday;06/11/2019;17;0;1
Thursday;07/11/2019;5;30;2
Thursday;07/11/2019;6;0;25
Thursday;07/11/2019;6;30;47
Thursday;07/11/2019;7;0;16
Thursday;07/11/2019;7;30;21
Thursday;07/11/2019;8;0;15
Thursday;07/11/2019;8;30;20
Thursday;07/11/2019;9;0;9
Thursday;07/11/2019;9;30;9
Thursday;07/11/2019;10;0;34
Thursday;07/11/2019;10;30;8
Thursday;07/11/2019;11;0;5
Thursday;07/11/2019;11;30;2
Thursday;07/11/2019;12;0;15
Thursday;07/11/2019;12;30;3
Thursday;07/11/2019;13;0;3
Thursday;07/11/2019;13;30;5
Thursday;07/11/2019;14;0;2
Thursday;07/11/2019;14;30;2
Thursday;07/11/2019;16;30;1
Friday;08/11/2019;6;0;65
Friday;08/11/2019;6;30;41
Friday;08/11/2019;7;0;10
Friday;08/11/2019;7;30;12
Friday;08/11/2019;8;0;1
Friday;08/11/2019;8;30;6
Friday;08/11/2019;9;30;2
Friday;08/11/2019;10;0;40
Friday;08/11/2019;10;30;8
Friday;08/11/2019;11;0;9
Friday;08/11/2019;11;30;19
Friday;08/11/2019;12;0;11
Friday;08/11/2019;12;30;3
Friday;08/11/2019;13;0;10
Friday;08/11/2019;13;30;12
Friday;08/11/2019;14;0;4
Friday;08/11/2019;14;30;8
Friday;08/11/2019;15;0;1
Friday;08/11/2019;15;30;4
Friday;08/11/2019;16;0;3
Friday;08/11/2019;17;30;1
Friday;08/11/2019;18;0;1
Saturday;09/11/2019;6;30;2
Saturday;09/11/2019;7;0;45
Saturday;09/11/2019;7;30;8
Saturday;09/11/2019;8;0;11
Saturday;09/11/2019;8;30;14
Saturday;09/11/2019;9;0;13
Saturday;09/11/2019;9;30;9
Saturday;09/11/2019;10;0;8
Saturday;09/11/2019;10;30;2
Saturday;09/11/2019;11;0;6
Saturday;09/11/2019;11;30;3
Saturday;09/11/2019;12;0;3
Saturday;09/11/2019;12;30;4
Saturday;09/11/2019;13;0;5
Saturday;09/11/2019;13;30;3
Saturday;09/11/2019;14;30;2
Monday;11/11/2019;6;0;8
Monday;11/11/2019;6;30;1
Monday;11/11/2019;7;0;3
Monday;11/11/2019;7;30;32
Monday;11/11/2019;8;0;19
Monday;11/11/2019;8;30;4
Monday;11/11/2019;9;0;4
Monday;11/11/2019;9;30;13
Monday;11/11/2019;10;0;27
Monday;11/11/2019;10;30;11
Monday;11/11/2019;11;0;8
Monday;11/11/2019;11;30;16
Monday;11/11/2019;12;0;10
Monday;11/11/2019;12;30;8
Monday;11/11/2019;13;0;10
Monday;11/11/2019;13;30;1
Monday;11/11/2019;14;0;16
Monday;11/11/2019;14;30;10
Monday;11/11/2019;15;0;2
Monday;11/11/2019;15;30;9
Monday;11/11/2019;16;0;6
Monday;11/11/2019;16;30;2
Monday;11/11/2019;17;0;2
Monday;11/11/2019;17;30;3
Monday;11/11/2019;18;30;1
Tuesday;12/11/2019;5;0;1
Tuesday;12/11/2019;5;30;3
